Player,Pos,Tm,G,FG,FGA,PTS,Win_Shares,season
Colby Jones,SG,WAS,15,3.2,6.9,8.7,,2024-25
Colby Jones,SG,WAS,15,3.2,6.9,8.7,,2024-25
Colby Jones,SG,WAS,15,3.2,6.9,8.7,,2024-25
Nicolas Batum,PF,LAC,78,1.3,3.1,4,,2024-25
Malachi Flynn,PG,CHO,4,1.3,3.3,4,,2024-25
Ron Harper Jr.,SF,DET,1,1,8,4,,2024-25
Josh Richardson,SG,MIA,8,1.4,4.8,4,,2024-25
Steven Adams,C,HOU,58,1.6,2.9,3.9,,2024-25
Kyle Lowry,PG,PHI,35,1.2,3.3,3.9,,2024-25
Olivier-Maxence Prosper,PF,DAL,52,1.3,3.3,3.9,,2024-25
Patty Mills,PG,2TM,29,1.2,3.3,3.8,,2024-25
Patty Mills,PG,2TM,29,1.2,3.3,3.8,,2024-25
Patty Mills,PG,2TM,29,1.2,3.3,3.8,,2024-25
Patty Mills,PG,UTA,17,1.5,4.5,4.4,,2024-25
Patty Mills,PG,UTA,17,1.5,4.5,4.4,,2024-25
Patty Mills,PG,UTA,17,1.5,4.5,4.4,,2024-25
Patty Mills,PG,LAC,12,0.8,1.7,3.1,,2024-25
Patty Mills,PG,LAC,12,0.8,1.7,3.1,,2024-25
Patty Mills,PG,LAC,12,0.8,1.7,3.1,,2024-25
Branden Carlson,C,OKC,32,1.3,3,3.8,,2024-25
Devin Carter,PG,SAC,36,1.3,3.5,3.8,,2024-25
Ousmane Dieng,C,OKC,37,1.5,3.4,3.8,,2024-25
Markieff Morris,PF,2TM,15,1.4,4.7,3.7,,2024-25
Markieff Morris,PF,2TM,15,1.4,4.7,3.7,,2024-25
Markieff Morris,PF,2TM,15,1.4,4.7,3.7,,2024-25
Markieff Morris,PF,DAL,7,0.7,3.1,1.7,,2024-25
Markieff Morris,PF,DAL,7,0.7,3.1,1.7,,2024-25
Markieff Morris,PF,DAL,7,0.7,3.1,1.7,,2024-25
Markieff Morris,PF,LAL,8,2,6,5.5,,2024-25
Markieff Morris,PF,LAL,8,2,6,5.5,,2024-25
Markieff Morris,PF,LAL,8,2,6,5.5,,2024-25
Emoni Bates,SF,CLE,10,1.3,3.8,3.7,,2024-25
DeAndre Jordan,C,DEN,56,1.6,2.5,3.7,,2024-25
Craig Porter Jr.,PG,CLE,51,1.4,2.7,3.7,,2024-25
Jackson Rowe,PF,GSW,6,1.3,2.8,3.7,,2024-25
Blake Wesley,SG,SAS,58,1.4,3.2,3.7,,2024-25
JT Thor,PF,2TM,20,1.3,3,3.6,,2024-25
JT Thor,PF,2TM,20,1.3,3,3.6,,2024-25
JT Thor,PF,2TM,20,1.3,3,3.6,,2024-25
JT Thor,PF,CLE,9,1,1.7,3.1,,2024-25
JT Thor,PF,CLE,9,1,1.7,3.1,,2024-25
JT Thor,PF,CLE,9,1,1.7,3.1,,2024-25
JT Thor,PF,WAS,11,1.5,4,3.9,,2024-25
JT Thor,PF,WAS,11,1.5,4,3.9,,2024-25
JT Thor,PF,WAS,11,1.5,4,3.9,,2024-25
Baylor Scheierman,SG,BOS,31,1.3,3.5,3.6,,2024-25
Jae'Sean Tate,SF,HOU,52,1.3,2.8,3.6,,2024-25
Jaylon Tyson,SG,CLE,47,1.4,3.2,3.6,,2024-25
Elfrid Payton,PG,2TM,24,1.7,5.1,3.5,,2024-25
Elfrid Payton,PG,2TM,24,1.7,5.1,3.5,,2024-25
Elfrid Payton,PG,2TM,24,1.7,5.1,3.5,,2024-25
Elfrid Payton,PG,NOP,18,2.1,5.6,4.4,,2024-25
Elfrid Payton,PG,NOP,18,2.1,5.6,4.4,,2024-25
Elfrid Payton,PG,NOP,18,2.1,5.6,4.4,,2024-25
Elfrid Payton,PG,CHO,6,0.5,3.5,1,,2024-25
Elfrid Payton,PG,CHO,6,0.5,3.5,1,,2024-25
Elfrid Payton,PG,CHO,6,0.5,3.5,1,,2024-25
Luka Garza,C,MIN,39,1.3,2.7,3.5,,2024-25
Cory Joseph,PG,ORL,50,1.2,3.1,3.5,,2024-25
Doug McDermott,SF,SAC,42,1.2,2.8,3.5,,2024-25
Dario Šarić,C,DEN,16,1.3,3.6,3.5,,2024-25
Jamaree Bouyea,PG,MIL,5,1.2,2.4,3.4,,2024-25
Bruno Fernando,C,TOR,17,1.5,2.9,3.4,,2024-25
Andre Jackson Jr.,SG,MIL,67,1.4,2.9,3.4,,2024-25
Isaac Jones,PF,SAC,40,1.4,2.1,3.4,,2024-25
Kevin Knox,SF,GSW,14,1.3,2.6,3.3,,2024-25
Damion Lee,SG,PHO,25,1.1,3,3.3,,2024-25
Jeenathan Williams,SG,HOU,20,1.4,3.1,3.3,,2024-25
Elijah Harkless,SG,UTA,10,1.1,3.5,3.2,,2024-25
Zeke Nnaji,PF,DEN,57,1.2,2.5,3.2,,2024-25
Cam Reddish,SF,LAL,33,1.2,2.8,3.2,,2024-25
Delon Wright,PG,2TM,40,1.1,3.3,3.1,,2024-25
Delon Wright,PG,2TM,40,1.1,3.3,3.1,,2024-25
Delon Wright,PG,2TM,40,1.1,3.3,3.1,,2024-25
Delon Wright,PG,MIL,26,0.8,3.2,2.5,,2024-25
Delon Wright,PG,MIL,26,0.8,3.2,2.5,,2024-25
Delon Wright,PG,MIL,26,0.8,3.2,2.5,,2024-25
Delon Wright,PG,NYK,14,1.6,3.5,4.3,,2024-25
Delon Wright,PG,NYK,14,1.6,3.5,4.3,,2024-25
Delon Wright,PG,NYK,14,1.6,3.5,4.3,,2024-25
Kylor Kelley,C,2TM,11,1.3,2,3.1,,2024-25
Kylor Kelley,C,2TM,11,1.3,2,3.1,,2024-25
Kylor Kelley,C,2TM,11,1.3,2,3.1,,2024-25
Kylor Kelley,C,DAL,8,1.3,1.6,3,,2024-25
Kylor Kelley,C,DAL,8,1.3,1.6,3,,2024-25
Kylor Kelley,C,DAL,8,1.3,1.6,3,,2024-25
Kylor Kelley,C,NOP,3,1.3,3,3.3,,2024-25
Kylor Kelley,C,NOP,3,1.3,3,3.3,,2024-25
Kylor Kelley,C,NOP,3,1.3,3,3.3,,2024-25
Gary Harris,SG,ORL,48,1.1,2.8,3,,2024-25
Maxi Kleber,PF,DAL,34,1.1,2.8,3,,2024-25
Taze Moore,SG,POR,2,1,5,3,,2024-25
Rayan Rupert,SG,POR,52,1.1,2.7,3,,2024-25
P.J. Tucker,SF,NYK,3,1,2.3,3,,2024-25
Pete Nance,PF,2TM,13,1.1,2.5,2.9,,2024-25
Pete Nance,PF,2TM,13,1.1,2.5,2.9,,2024-25
Pete Nance,PF,2TM,13,1.1,2.5,2.9,,2024-25
Pete Nance,C,PHI,7,0.7,2.1,2.1,,2024-25
Pete Nance,C,PHI,7,0.7,2.1,2.1,,2024-25
Pete Nance,C,PHI,7,0.7,2.1,2.1,,2024-25
Pete Nance,PF,MIL,6,1.5,2.8,3.8,,2024-25
Pete Nance,PF,MIL,6,1.5,2.8,3.8,,2024-25
Pete Nance,PF,MIL,6,1.5,2.8,3.8,,2024-25
Markelle Fultz,PG,SAC,21,1.3,3.2,2.9,,2024-25
Taj Gibson,C,CHO,37,1.3,2.6,2.9,,2024-25
Tyler Smith,PF,MIL,23,1,2.2,2.9,,2024-25
RayJ Dennis,PG,IND,11,1,3,2.7,,2024-25
David Duke Jr.,SG,SAS,6,1,2.3,2.7,,2024-25
Keshad Johnson,SF,MIA,16,1.1,1.6,2.7,,2024-25
Reece Beekman,PG,2TM,36,1,3,2.6,,2024-25
Reece Beekman,PG,2TM,36,1,3,2.6,,2024-25
Reece Beekman,PG,2TM,36,1,3,2.6,,2024-25
Reece Beekman,PG,GSW,2,0.5,0.5,1,,2024-25
Reece Beekman,PG,GSW,2,0.5,0.5,1,,2024-25
Reece Beekman,PG,GSW,2,0.5,0.5,1,,2024-25
Reece Beekman,PG,BRK,34,1,3.1,2.7,,2024-25
Reece Beekman,PG,BRK,34,1,3.1,2.7,,2024-25
Reece Beekman,PG,BRK,34,1,3.1,2.7,,2024-25
Jae Crowder,PF,SAC,9,0.8,2.4,2.6,,2024-25
Josh Minott,SF,MIN,46,1,2,2.6,,2024-25
Hunter Tyson,PF,DEN,51,0.9,2.4,2.6,,2024-25
Jaden Springer,SG,2TM,43,0.8,2.1,2.5,,2024-25
Jaden Springer,SG,2TM,43,0.8,2.1,2.5,,2024-25
Jaden Springer,SG,2TM,43,0.8,2.1,2.5,,2024-25
Jaden Springer,SG,BOS,26,0.5,1.3,1.7,,2024-25
Jaden Springer,SG,BOS,26,0.5,1.3,1.7,,2024-25
Jaden Springer,SG,BOS,26,0.5,1.3,1.7,,2024-25
Jaden Springer,PG,UTA,17,1.4,3.3,3.8,,2024-25
Jaden Springer,PG,UTA,17,1.4,3.3,3.8,,2024-25
Jaden Springer,PG,UTA,17,1.4,3.3,3.8,,2024-25
Trey Jemison,C,2TM,38,1.1,1.9,2.5,,2024-25
Trey Jemison,C,2TM,38,1.1,1.9,2.5,,2024-25
Trey Jemison,C,2TM,38,1.1,1.9,2.5,,2024-25
Trey Jemison,C,NOP,16,0.9,2,2.4,,2024-25
Trey Jemison,C,NOP,16,0.9,2,2.4,,2024-25
Trey Jemison,C,NOP,16,0.9,2,2.4,,2024-25
Trey Jemison,C,LAL,22,1.2,1.9,2.6,,2024-25
Trey Jemison,C,LAL,22,1.2,1.9,2.6,,2024-25
Trey Jemison,C,LAL,22,1.2,1.9,2.6,,2024-25
Anthony Gill,PF,WAS,51,0.8,1.7,2.5,,2024-25
Dillon Jones,SF,OKC,54,0.9,2.5,2.5,,2024-25
Pat Spencer,PG,GSW,39,1.1,2.6,2.5,,2024-25
Johnny Davis,SG,WAS,34,0.9,2.3,2.4,,2024-25
Christian Koloko,C,LAL,37,1.1,1.8,2.4,,2024-25
John Konchar,SG,MEM,46,0.9,2,2.4,,2024-25
MarJon Beauchamp,SF,3TM,35,0.8,1.9,2.3,,2024-25
MarJon Beauchamp,SF,3TM,35,0.8,1.9,2.3,,2024-25
MarJon Beauchamp,SF,3TM,35,0.8,1.9,2.3,,2024-25
MarJon Beauchamp,SF,3TM,35,0.8,1.9,2.3,,2024-25
MarJon Beauchamp,SF,MIL,26,0.7,1.8,2,,2024-25
MarJon Beauchamp,SF,MIL,26,0.7,1.8,2,,2024-25
MarJon Beauchamp,SF,MIL,26,0.7,1.8,2,,2024-25
MarJon Beauchamp,SF,MIL,26,0.7,1.8,2,,2024-25
MarJon Beauchamp,SF,LAC,3,1.3,2.3,4,,2024-25
MarJon Beauchamp,SF,LAC,3,1.3,2.3,4,,2024-25
MarJon Beauchamp,SF,LAC,3,1.3,2.3,4,,2024-25
MarJon Beauchamp,SF,LAC,3,1.3,2.3,4,,2024-25
MarJon Beauchamp,SF,NYK,6,0.8,1.8,2.5,,2024-25
MarJon Beauchamp,SF,NYK,6,0.8,1.8,2.5,,2024-25
MarJon Beauchamp,SF,NYK,6,0.8,1.8,2.5,,2024-25
MarJon Beauchamp,SF,NYK,6,0.8,1.8,2.5,,2024-25
Bronny James,SG,LAL,27,0.8,2.5,2.3,,2024-25
Mason Jones,SG,SAC,10,0.9,1.8,2.3,,2024-25
Miles Norris,PF,BOS,3,0.7,3,2.3,,2024-25
Patrick Baldwin Jr.,SF,2TM,24,0.8,1.5,2.2,,2024-25
Patrick Baldwin Jr.,SF,2TM,24,0.8,1.5,2.2,,2024-25
Patrick Baldwin Jr.,SF,2TM,24,0.8,1.5,2.2,,2024-25
Patrick Baldwin Jr.,SF,WAS,22,0.8,1.5,2.1,,2024-25
Patrick Baldwin Jr.,SF,WAS,22,0.8,1.5,2.1,,2024-25
Patrick Baldwin Jr.,SF,WAS,22,0.8,1.5,2.1,,2024-25
Patrick Baldwin Jr.,SF,LAC,2,1,1,3,,2024-25
Patrick Baldwin Jr.,SF,LAC,2,1,1,3,,2024-25
Patrick Baldwin Jr.,SF,LAC,2,1,1,3,,2024-25
Drew Peterson,PF,BOS,25,0.7,1.6,2.2,,2024-25
TyTy Washington Jr.,PG,PHO,16,0.9,2.8,2.2,,2024-25
Jordan McLaughlin,PG,2TM,46,0.7,1.6,2.1,,2024-25
Jordan McLaughlin,PG,2TM,46,0.7,1.6,2.1,,2024-25
Jordan McLaughlin,PG,2TM,46,0.7,1.6,2.1,,2024-25
Jordan McLaughlin,PG,SAC,28,0.6,1.6,1.9,,2024-25
Jordan McLaughlin,PG,SAC,28,0.6,1.6,1.9,,2024-25
Jordan McLaughlin,PG,SAC,28,0.6,1.6,1.9,,2024-25
Jordan McLaughlin,PG,SAS,18,0.8,1.6,2.5,,2024-25
Jordan McLaughlin,PG,SAS,18,0.8,1.6,2.5,,2024-25
Jordan McLaughlin,PG,SAS,18,0.8,1.6,2.5,,2024-25
JD Davison,PG,BOS,16,0.8,2.1,2.1,,2024-25
Chris Duarte,SG,CHI,17,0.7,1.5,2.1,,2024-25
Enrique Freeman,PF,IND,22,0.7,1.7,2.1,,2024-25
Johnny Furphy,SG,IND,50,0.7,1.8,2.1,,2024-25
Dwight Powell,C,DAL,55,0.8,1.1,2.1,,2024-25
Josh Christopher,SG,MIA,14,0.8,2.2,2,,2024-25
Tyler Kolek,PG,NYK,41,0.7,2,2,,2024-25
Adama Sanogo,C,CHI,4,1,1.8,2,,2024-25
Kobe Brown,PF,LAC,40,0.8,1.8,1.9,,2024-25
Ariel Hukporti,C,NYK,25,0.8,1.2,1.9,,2024-25
Bobi Klintman,SF,DET,8,0.8,1.3,1.9,,2024-25
Garrett Temple,SG,TOR,28,0.6,2.1,1.9,,2024-25
Jericho Sims,C,2TM,53,0.8,1.3,1.8,,2024-25
Jericho Sims,C,2TM,53,0.8,1.3,1.8,,2024-25
Jericho Sims,C,2TM,53,0.8,1.3,1.8,,2024-25
Jericho Sims,C,NYK,39,0.7,1.2,1.6,,2024-25
Jericho Sims,C,NYK,39,0.7,1.2,1.6,,2024-25
Jericho Sims,C,NYK,39,0.7,1.2,1.6,,2024-25
Jericho Sims,C,MIL,14,1.2,1.8,2.4,,2024-25
Jericho Sims,C,MIL,14,1.2,1.8,2.4,,2024-25
Jericho Sims,C,MIL,14,1.2,1.8,2.4,,2024-25
Vlatko Čančar,PF,DEN,13,0.8,2,1.8,,2024-25
Adam Flagler,SG,OKC,37,0.7,2.6,1.8,,2024-25
Trentyn Flowers,SF,LAC,6,0.7,1.8,1.8,,2024-25
E.J. Liddell,PF,CHI,12,0.7,1.3,1.8,,2024-25
Jahmir Young,PG,CHI,6,0.7,0.8,1.8,,2024-25
Pacome Dadiet,SG,NYK,18,0.6,1.7,1.7,,2024-25
Alex Ducas,SG,OKC,21,0.6,1.4,1.7,,2024-25
PJ Hall,C,DEN,19,0.7,1.3,1.7,,2024-25
Emanuel Miller,PF,CHI,6,0.7,1.3,1.7,,2024-25
Tristan Thompson,C,CLE,40,0.8,1.8,1.7,,2024-25
Alex Len,C,2TM,46,0.7,1.4,1.6,,2024-25
Alex Len,C,2TM,46,0.7,1.4,1.6,,2024-25
Alex Len,C,2TM,46,0.7,1.4,1.6,,2024-25
Alex Len,C,SAC,36,0.6,1.1,1.4,,2024-25
Alex Len,C,SAC,36,0.6,1.1,1.4,,2024-25
Alex Len,C,SAC,36,0.6,1.1,1.4,,2024-25
Alex Len,C,LAL,10,1,2.2,2.2,,2024-25
Alex Len,C,LAL,10,1,2.2,2.2,,2024-25
Alex Len,C,LAL,10,1,2.2,2.2,,2024-25
Yuki Kawamura,PG,MEM,22,0.5,1.4,1.6,,2024-25
Jack McVeigh,PF,HOU,9,0.6,1.9,1.6,,2024-25
Armel Traoré,SF,LAL,9,0.7,2.1,1.6,,2024-25
Jordan Walsh,PF,BOS,52,0.6,1.6,1.6,,2024-25
Phillip Wheeler,PF,PHI,5,0.6,4.2,1.6,,2024-25
Sidy Cissoko,SF,2TM,22,0.6,1.4,1.5,,2024-25
Sidy Cissoko,SF,2TM,22,0.6,1.4,1.5,,2024-25
Sidy Cissoko,SF,2TM,22,0.6,1.4,1.5,,2024-25
Sidy Cissoko,SF,SAS,17,0.5,1.1,1.3,,2024-25
Sidy Cissoko,SF,SAS,17,0.5,1.1,1.3,,2024-25
Sidy Cissoko,SF,SAS,17,0.5,1.1,1.3,,2024-25
Sidy Cissoko,SF,POR,5,0.8,2.4,2,,2024-25
Sidy Cissoko,SF,POR,5,0.8,2.4,2,,2024-25
Sidy Cissoko,SF,POR,5,0.8,2.4,2,,2024-25
Jazian Gortman,PG,DAL,16,0.6,1.4,1.5,,2024-25
Kevin McCullar Jr.,SF,NYK,4,0.5,1.8,1.5,,2024-25
Leonard Miller,SF,MIN,13,0.5,1.2,1.5,,2024-25
Quincy Olivari,PG,LAL,2,0.5,2.5,1.5,,2024-25
Matt Ryan,SF,NYK,19,0.5,1.6,1.5,,2024-25
Jacob Toppin,SF,2TM,17,0.5,1.3,1.4,,2024-25
Jacob Toppin,SF,2TM,17,0.5,1.3,1.4,,2024-25
Jacob Toppin,SF,2TM,17,0.5,1.3,1.4,,2024-25
Jacob Toppin,SF,NYK,16,0.2,0.6,0.4,,2024-25
Jacob Toppin,SF,NYK,16,0.2,0.6,0.4,,2024-25
Jacob Toppin,SF,NYK,16,0.2,0.6,0.4,,2024-25
Jacob Toppin,SF,ATL,1,6,12,17,,2024-25
Jacob Toppin,SF,ATL,1,6,12,17,,2024-25
Jacob Toppin,SF,ATL,1,6,12,17,,2024-25
Cam Christie,SG,LAC,13,0.5,1.8,1.4,,2024-25
Chris Livingston,SF,MIL,21,0.4,1.3,1.4,,2024-25
Trey Alexander,SG,DEN,24,0.5,1.7,1.3,,2024-25
Spencer Jones,SF,DEN,20,0.6,1.7,1.3,,2024-25
Skal Labissière,PF,SAC,4,0.5,1,1.3,,2024-25
Jalen Bridges,SF,PHO,8,0.3,0.9,1.1,,2024-25
Yuri Collins,PG,GSW,2,0.5,1.5,1,,2024-25
Daniss Jenkins,PG,DET,7,0.4,1.4,1,,2024-25
Braxton Key,SF,GSW,3,0,1.3,1,,2024-25
Bryce McGowens,SG,POR,13,0.3,1.1,1,,2024-25
Xavier Tillman Sr.,C,BOS,33,0.4,1.6,1,,2024-25
Luke Travers,SG,CLE,12,0.4,1.7,1,,2024-25
Isaiah Crawford,SF,SAC,15,0.3,0.7,0.9,,2024-25
Justin Minaya,SF,POR,19,0.4,1.1,0.9,,2024-25
Anton Watson,SF,NYK,9,0.4,1,0.9,,2024-25
D.J. Carton,SG,TOR,4,0.3,1.8,0.8,,2024-25
PJ Dozier,SG,MIN,9,0.2,0.3,0.8,,2024-25
Joe Ingles,SF,MIN,19,0.3,1.2,0.8,,2024-25
Harrison Ingram,SF,SAS,5,0.4,0.8,0.8,,2024-25
Ulrich Chomche,PF,TOR,7,0.3,0.7,0.7,,2024-25
James Johnson,PF,IND,12,0.3,0.9,0.7,,2024-25
Liam Robbins,C,MIL,13,0.2,0.6,0.7,,2024-25
Stanley Umude,SG,MIL,22,0.2,1.2,0.7,,2024-25
Cui Yongxi,SG,BRK,5,0.2,1.4,0.6,,2024-25
Tristen Newton,SG,2TM,8,0.1,1,0.4,,2024-25
Tristen Newton,SG,2TM,8,0.1,1,0.4,,2024-25
Tristen Newton,SG,2TM,8,0.1,1,0.4,,2024-25
Tristen Newton,SG,IND,5,0.2,1.2,0.6,,2024-25
Tristen Newton,SG,IND,5,0.2,1.2,0.6,,2024-25
Tristen Newton,SG,IND,5,0.2,1.2,0.6,,2024-25
Tristen Newton,SG,MIN,3,0,0.7,0,,2024-25
Tristen Newton,SG,MIN,3,0,0.7,0,,2024-25
Tristen Newton,SG,MIN,3,0,0.7,0,,2024-25
Malevy Leons,SF,OKC,6,0,0.3,0.3,,2024-25
Daishen Nix,PG,MIN,3,0,0.3,0.3,,2024-25
Terence Davis,SG,SAC,1,0,2,0,,2024-25
Jesse Edwards,C,MIN,2,0,0,0,,2024-25
Mac McClung,SG,ORL,2,0,1,0,,2024-25
Jalen McDaniels,SF,WAS,4,0,0,0,,2024-25
Riley Minix,SF,SAS,1,0,1,0,,2024-25
Jahlil Okafor,C,IND,1,0,0,0,,2024-25
Zyon Pullin,SG,MEM,3,0,0.3,0,,2024-25
Isaiah Stevens,PG,MIA,3,0,0.7,0,,2024-25
Terry Taylor,PF,SAC,3,0,0.3,0,,2024-25
League Average,,,,,,,,2024-25
