Player,PER,WS,BPM,VORP,season
Spencer Jones,4.5,-0.1,-8.5,-0.2,2024-25
Kobe Bufkin,10.5,0.0,-4.0,-0.1,2024-25
Tyler Smith,15.2,0.2,-0.9,0.0,2024-25
De'Anthony Melton,13.3,0.2,-0.8,0.0,2024-25
Moses Brown,22.4,0.4,0.1,0.1,2024-25
Moses Brown,16.0,0.0,-5.2,0.0,2024-25
Moses Brown,26.3,0.3,3.5,0.1,2024-25
TyTy Washington Jr.,6.5,-0.2,-8.0,-0.2,2024-25
Trey Alexander,2.9,-0.2,-9.7,-0.2,2024-25
Joe Ingles,2.4,-0.1,-7.0,-0.1,2024-25
Sidy Cissoko,6.7,-0.1,-5.1,-0.1,2024-25
Sidy Cissoko,11.2,0.0,-2.6,0.0,2024-25
Sidy Cissoko,2.7,-0.2,-7.3,-0.1,2024-25
Tony Bradley,23.2,0.4,1.2,0.1,2024-25
Jaylen Sims,9.8,0.1,-4.1,-0.1,2024-25
Pacome Dadiet,6.3,0.0,-6.5,-0.1,2024-25
Patrick Baldwin Jr.,16.2,0.2,1.5,0.1,2024-25
Patrick Baldwin Jr.,14.5,0.1,-0.2,0.0,2024-25
Patrick Baldwin Jr.,45.4,0.1,30.7,0.1,2024-25
Chris Livingston,9.8,0.1,-6.1,-0.1,2024-25
Jae Crowder,6.6,0.1,-4.3,-0.1,2024-25
Justin Minaya,5.0,0.0,-5.4,-0.1,2024-25
Keshad Johnson,19.1,0.4,-0.1,0.0,2024-25
Yuki Kawamura,11.0,0.2,-2.8,0.0,2024-25
JD Davison,6.5,-0.2,-6.2,-0.1,2024-25
Luke Travers,1.9,-0.1,-9.7,-0.2,2024-25
Stanley Umude,3.4,-0.2,-8.1,-0.1,2024-25
Kevin Knox,17.1,0.2,-1.3,0.0,2024-25
Isaiah Jackson,18.2,0.3,0.8,0.1,2024-25
Marcus Garrett,8.7,0.0,-7.6,-0.1,2024-25
Jacob Toppin,9.2,0.0,-2.6,0.0,2024-25
Jacob Toppin,4.5,0.0,-6.0,0.0,2024-25
Jacob Toppin,17.9,0.1,3.5,0.0,2024-25
Emoni Bates,9.8,0.1,-1.5,0.0,2024-25
Taylor Hendricks,7.1,0.0,-3.5,0.0,2024-25
Chris Duarte,16.5,0.3,1.2,0.1,2024-25
Daeqwon Plowden,16.1,0.2,-0.1,0.0,2024-25
RayJ Dennis,13.9,0.1,0.7,0.0,2024-25
Josh Christopher,9.4,-0.1,-7.9,-0.1,2024-25
Matt Ryan,6.1,-0.1,-7.5,-0.1,2024-25
Armel Traoré,3.5,-0.1,-9.8,-0.1,2024-25
PJ Hall,18.3,0.2,-1.3,0.0,2024-25
Nae'Qwan Tomlin,14.4,0.1,-5.5,-0.1,2024-25
Jamaree Bouyea,9.7,0.0,-5.4,0.0,2024-25
Cam Christie,9.1,0.0,-2.5,0.0,2024-25
P.J. Tucker,5.5,0.1,-7.2,-0.1,2024-25
Jazian Gortman,6.5,-0.1,-6.3,-0.1,2024-25
Liam Robbins,2.6,-0.1,-10.5,-0.1,2024-25
E.J. Liddell,11.1,0.1,-4.1,0.0,2024-25
Jackson Rowe,15.9,0.2,1.0,0.0,2024-25
N'Faly Dante,24.0,0.3,2.4,0.1,2024-25
Isaiah Crawford,9.2,0.0,-4.1,0.0,2024-25
Mason Jones,20.6,0.2,2.9,0.1,2024-25
Phillip Wheeler,-2.3,-0.3,-18.2,-0.2,2024-25
Malachi Flynn,12.4,0.0,-2.8,0.0,2024-25
Jack McVeigh,4.0,0.0,-7.7,-0.1,2024-25
Bobi Klintman,15.9,0.2,1.0,0.0,2024-25
James Johnson,0.0,-0.1,-9.7,-0.1,2024-25
PJ Dozier,9.5,0.1,0.7,0.0,2024-25
Harrison Ingram,10.9,0.1,-1.2,0.0,2024-25
Miles Norris,8.5,0.0,-1.9,0.0,2024-25
David Duke Jr.,12.2,0.0,-1.5,0.0,2024-25
D.J. Carton,-2.6,-0.1,-11.1,-0.1,2024-25
Bryce McGowens,1.7,-0.1,-13.6,-0.1,2024-25
Leonard Miller,19.9,0.1,-3.7,0.0,2024-25
Ulrich Chomche,5.2,0.0,-7.4,0.0,2024-25
Jalen Bridges,-0.1,-0.1,-12.5,-0.1,2024-25
Jahmir Young,16.8,0.1,0.5,0.0,2024-25
Kevin McCullar Jr.,6.7,0.0,-7.2,0.0,2024-25
Trentyn Flowers,4.3,0.0,-8.3,0.0,2024-25
Emanuel Miller,18.1,0.1,-1.8,0.0,2024-25
Daniss Jenkins,-0.1,-0.1,-15.8,-0.1,2024-25
Anton Watson,5.9,0.0,-10.1,0.0,2024-25
Tolu Smith,19.5,0.1,-8.9,0.0,2024-25
Malevy Leons,-2.3,0.0,-12.4,-0.1,2024-25
Adama Sanogo,15.2,0.0,-2.6,0.0,2024-25
Taze Moore,7.1,-0.1,-4.3,0.0,2024-25
Ron Harper Jr.,7.9,0.0,-14.7,0.0,2024-25
Isaiah Mobley,17.2,0.0,4.7,0.0,2024-25
Yuri Collins,13.9,0.1,0.3,0.0,2024-25
Tristen Newton,-6.1,-0.1,-20.7,-0.1,2024-25
Tristen Newton,-15.3,-0.1,-32.7,-0.1,2024-25
Tristen Newton,3.1,0.0,-8.7,0.0,2024-25
Daishen Nix,-7.0,-0.1,-16.2,0.0,2024-25
Skal Labissière,15.9,0.0,2.1,0.0,2024-25
Braxton Key,1.1,-0.1,-13.6,0.0,2024-25
Cui Yongxi,-10.7,-0.1,-24.9,-0.1,2024-25
Mac McClung,-0.3,0.0,-11.0,0.0,2024-25
Quincy Olivari,-5.2,-0.1,-18.6,0.0,2024-25
Terence Davis,-4.0,0.0,-16.9,0.0,2024-25
Jalen McDaniels,10.9,0.0,5.6,0.0,2024-25
Riley Minix,-1.7,0.0,-11.8,0.0,2024-25
Isaiah Stevens,0.1,0.0,-11.8,0.0,2024-25
Terry Taylor,9.8,0.0,3.3,0.0,2024-25
Jesse Edwards,-0.1,0.0,-4.0,0.0,2024-25
James Wiseman,31.2,0.0,1.6,0.0,2024-25
Alondes Williams,53.4,0.0,44.1,0.0,2024-25
Zyon Pullin,-11.7,0.0,-22.7,0.0,2024-25
Jahlil Okafor,13.8,0.0,7.5,0.0,2024-25
League Average,,,,,2024-25
