186.	De'Anthony Melton	$8,000,000	$8,237,711
186.	Moritz Wagner	$8,000,000	$8,237,711
186.	Jeff Green	$8,000,000	$8,237,711
186.	Jock Landale	$8,000,000	$8,237,711
191.	Ausar Thompson	$7,977,420	$8,214,460
192.	Miles Bridges	$7,921,300	$8,156,673
193.	Danilo Gallinari	$7,850,062	$8,083,317
194.	Paul Reed	$7,723,000	$7,952,480
194.	Vasilije Micic	$7,723,000	$7,952,480
196.	Zach Collins	$7,700,000	$7,928,797
197.	Jaden Ivey	$7,614,480	$7,840,736
198.	Cody Martin	$7,560,000	$7,784,637
199.	Patrick Mills	$7,537,766	$7,761,742
200.	Kevon Looney	$7,500,000	$7,722,854
201.	Killian Hayes	$7,413,955	$7,634,253
202.	Jalen Suggs	$7,252,080	$7,467,568
203.	Anthony Black	$7,245,480	$7,460,771
204.	Jae'Sean Tate	$7,000,000	$7,207,997
205.	Khem Birch	$6,985,000	$7,192,552
206.	Bennedict Mathurin	$6,916,080	$7,121,584
207.	Obi Toppin	$6,803,012	$7,005,156
208.	Caleb Martin	$6,802,950	$7,005,092
209.	Cedi Osman	$6,718,842	$6,918,485
210.	Bilal Coulibaly	$6,614,256	$6,810,791
211.	Josh Giddey	$6,587,040	$6,782,767
212.	Ayo Dosunmu	$6,481,482	$6,674,072
213.	Rudy Gay	$6,479,000	$6,671,516
214.	Sasha Vezenkov	$6,341,464	$6,529,894
215.	Shaedon Sharpe	$6,313,800	$6,501,408
216.	Otto Porter	$6,300,000	$6,487,198
217.	Deni Avdija	$6,263,188	$6,449,292
218.	Nassir Little	$6,250,000	$6,435,712
219.	Bismack Biyombo	$6,194,075	$6,378,124
220.	Jevon Carter	$6,190,476	$6,374,419
221.	Kenrich Williams	$6,175,000	$6,358,483
222.	Jarace Walker	$6,059,460	$6,239,510
223.	Jonathan Kuminga	$6,012,840	$6,191,505
224.	Devin Vassell	$5,887,899	$6,062,851
225.	Tyrese Haliburton	$5,808,435	$5,981,026
226.	Dyson Daniels	$5,784,120	$5,955,989
227.	Kira Lewis	$5,722,116	$5,892,142
228.	Dean Wade	$5,709,877	$5,879,540
229.	Aaron Nesmith	$5,634,257	$5,801,673
230.	Aleksej Pokusevski	$5,574,809	$5,740,458
231.	Taylor Hendricks	$5,569,872	$5,735,375
232.	Shake Milton	$5,552,938	$5,717,936
233.	JaVale McGee	$5,544,772	$5,709,529
234.	Cole Anthony	$5,539,771	$5,704,379
235.	Franz Wagner	$5,508,720	$5,672,405
236.	Furkan Korkmaz	$5,370,370	$5,529,945
237.	Josh Primo	$5,341,600	$5,500,319
238.	Jeremy Sochan	$5,316,960	$5,474,947
239.	Cason Wallace	$5,291,352	$5,448,579
240.	Isaiah Stewart	$5,266,713	$5,423,207
241.	Chuma Okeke	$5,266,712	$5,423,206
242.	Davion Mitchell	$5,063,640	$5,214,100
243.	Johnny Davis	$5,050,800	$5,200,879
244.	Jalen Smith	$5,043,773	$5,193,643
245.	Jett Howard	$5,026,824	$5,176,190
246.	Mason Plumlee	$5,000,000	$5,148,569
246.	Reggie Jackson	$5,000,000	$5,148,569
248.	Ziaire Williams	$4,810,200	$4,953,130
249.	Ousmane Dieng	$4,798,440	$4,941,020
250.	Taj Gibson	$4,776,302	$4,918,224
251.	Dereck Lively	$4,775,628	$4,917,530
252.	Josh Green	$4,765,339	$4,906,936
253.	Nickeil Alexander-Walker	$4,687,500	$4,826,784
254.	Jarred Vanderbilt	$4,640,000	$4,777,872
255.	James Bouknight	$4,570,080	$4,705,875
256.	Jalen Williams	$4,558,680	$4,694,136
257.	Saddiq Bey	$4,556,983	$4,692,389
258.	Gradey Dick	$4,536,708	$4,671,511
259.	Jalen McDaniels	$4,516,000	$4,650,188
259.	Taurean Prince	$4,516,000	$4,650,188
261.	Precious Achiuwa	$4,379,526	$4,509,659
262.	Tyrese Maxey	$4,343,920	$4,472,995
263.	Jalen Duren	$4,330,680	$4,459,361
264.	Danuel House	$4,310,250	$4,438,324
265.	Jordan Hawkins	$4,310,196	$4,438,269
266.	Mike Muscala	$4,308,297	$4,436,312
267.	Zeke Nnaji	$4,306,281	$4,434,237
268.	Immanuel Quickley	$4,171,548	$4,295,501
269.	Chris Duarte	$4,124,400	$4,246,952
270.	Ochai Agbaji	$4,114,200	$4,236,449
271.	Kobe Bufkin	$4,094,244	$4,215,900
272.	Payton Pritchard	$4,037,277	$4,157,240
273.	Troy Brown	$4,000,000	$4,118,855
273.	Dwight Powell	$4,000,000	$4,118,855
273.	Seth Curry	$4,000,000	$4,118,855
276.	Moses Moody	$3,918,480	$4,034,913
277.	Mark Williams	$3,908,160	$4,024,286
278.	Jaden McDaniels	$3,901,399	$4,017,325
279.	Keyonte George	$3,889,776	$4,005,356
280.	Malachi Flynn	$3,873,024	$3,988,106
281.	Desmond Bane	$3,845,083	$3,959,335
282.	James Johnson	$3,839,412	$3,953,496
283.	Kevin Love	$3,835,738	$3,949,713
283.	Russell Westbrook	$3,835,738	$3,949,713
285.	Ricky Rubio	$3,722,327	$3,832,932
286.	Corey Kispert	$3,722,040	$3,832,636
287.	AJ Griffin	$3,712,920	$3,823,245
288.	Jalen Hood-Schifino	$3,695,076	$3,804,871
289.	Amir Coffey	$3,666,667	$3,775,618
290.	Alperen Sengun	$3,536,280	$3,641,356
291.	Tari Eason	$3,527,160	$3,631,965
292.	Jaime Jaquez	$3,510,540	$3,614,852
293.	Andre Drummond	$3,360,000	$3,459,838
294.	Trey Murphy	$3,359,280	$3,459,097
295.	Brandin Podziemski	$3,352,404	$3,452,017
296.	Dalen Terry	$3,350,760	$3,450,324
297.	Keon Johnson	$3,342,765	$3,442,091
298.	Cameron Whitmore	$3,218,160	$3,313,784
299.	Jake LaRavia	$3,199,920	$3,295,002
300.	Kai Jones	$3,198,778	$3,293,825
301.	Garrett Temple	$3,196,448	$3,291,427
301.	Robin Lopez	$3,196,448	$3,291,427
301.	Alex Len	$3,196,448	$3,291,427
301.	Eric Gordon	$3,196,448	$3,291,427
301.	Cody Zeller	$3,196,448	$3,291,427
301.	Patrick Beverley	$3,196,448	$3,291,427
301.	Jae Crowder	$3,196,448	$3,291,427
301.	Derrick Rose	$3,196,448	$3,291,427
301.	Cory Joseph	$3,196,448	$3,291,427
301.	DeAndre Jordan	$3,196,448	$3,291,427
301.	Justin Holiday	$3,196,448	$3,291,427
301.	Markieff Morris	$3,196,448	$3,291,427
301.	Tristan Thompson	$3,196,448	$3,291,427
301.	Ishmael Smith	$3,196,448	$3,291,427
301.	Wesley Matthews	$3,196,448	$3,291,427
316.	Tre Mann	$3,191,400	$3,286,229
317.	Usman Garuba	$3,159,790	$3,253,679
318.	Noah Clowney	$3,089,460	$3,181,260
319.	Malaki Branham	$3,071,880	$3,163,157
320.	Simone Fontecchio	$3,044,872	$3,135,347
321.	Jordan Nwora	$3,000,000	$3,089,141
321.	Julian Champagnie	$3,000,000	$3,089,141
321.	Dante Exum	$3,000,000	$3,089,141
324.	Dariq Whitehead	$2,966,040	$3,054,172
325.	Christian Braun	$2,949,120	$3,036,750
326.	Jalen Johnson	$2,925,360	$3,012,284
327.	Kelly Oubre	$2,891,467	$2,977,383
327.	Josh Richardson	$2,891,467	$2,977,383
327.	Boban Marjanovic	$2,891,467	$2,977,383
330.	Kris Murray	$2,847,504	$2,932,114
331.	Andrew Nicholson	$2,844,429	$2,928,948
332.	Walker Kessler	$2,831,160	$2,915,285
333.	TyTy Washington	$2,830,222	$2,914,318
334.	Josh Okogie	$2,815,937	$2,899,609
335.	Omer Yurtseven	$2,800,000	$2,883,199
336.	Dewayne Dedmon	$2,748,674	$2,830,348
337.	Olivier-Maxence Prosper	$2,733,720	$2,814,949
338.	Josh Christopher	$2,732,920	$2,814,125
339.	David Roddy	$2,718,240	$2,799,009
340.	Malik Beasley	$2,709,849	$2,790,369
340.	Christian Wood	$2,709,849	$2,790,369
340.	Dario Saric	$2,709,849	$2,790,369
340.	Derrick Jones	$2,709,849	$2,790,369
344.	Chimezie Metu	$2,697,258	$2,777,404
345.	Isaiah Jackson	$2,696,280	$2,776,397
346.	Marcus Sasser	$2,624,028	$2,701,998
347.	MarJon Beauchamp	$2,609,400	$2,686,935
348.	Charles Bassey	$2,600,000	$2,677,256
349.	Damian Jones	$2,586,665	$2,663,525
350.	Kenneth Lofton	$2,586,618	$2,663,474
351.	Kris Dunn	$2,586,484	$2,663,338
352.	Bruno Fernando	$2,581,522	$2,658,229
353.	Jeremiah Robinson-Earl	$2,548,843	$2,624,578
354.	Ben Sheppard	$2,537,172	$2,612,561
355.	Damion Lee	$2,528,233	$2,603,356
355.	Thomas Bryant	$2,528,233	$2,603,356
355.	Ryan Arcidiacono	$2,528,233	$2,603,356
355.	Torrey Craig	$2,528,233	$2,603,356
355.	Frank Ntilikina	$2,528,233	$2,603,356
355.	Dennis Smith	$2,528,233	$2,603,356
361.	Blake Wesley	$2,504,640	$2,579,062
362.	Lamar Stevens	$2,492,354	$2,566,411
363.	Nick Smith	$2,463,912	$2,537,124
364.	Brice Sensabaugh	$2,448,600	$2,521,357
365.	Ty Jerome	$2,439,025	$2,511,498
366.	Julian Strawther	$2,431,044	$2,503,279
367.	Tristan Vukcevic	$2,424,892	$2,496,945
368.	Wendell Moore	$2,421,720	$2,493,678
369.	Jordan McLaughlin	$2,420,000	$2,491,907
370.	Kobe Brown	$2,413,356	$2,485,066
371.	Luke Kornet	$2,413,304	$2,485,012
372.	John Konchar	$2,400,000	$2,471,313
373.	Quentin Grimes	$2,385,720	$2,456,609
374.	Nikola Jovic	$2,352,000	$2,421,887
375.	Drew Eubanks	$2,346,614	$2,416,341
375.	Mo Bamba	$2,346,614	$2,416,341
375.	Thanasis Antetokounmpo	$2,346,614	$2,416,341
375.	Yuta Watanabe	$2,346,614	$2,416,341
375.	Aaron Holiday	$2,346,614	$2,416,341
375.	Keita Bates-Diop	$2,346,614	$2,416,341
375.	Lonnie Walker	$2,346,614	$2,416,341
375.	Sviatoslav Mykhailiuk	$2,346,614	$2,416,341
383.	Patrick Baldwin	$2,337,720	$2,407,182
384.	Harry Giles	$2,306,554	$2,375,090
385.	Bones Hyland	$2,306,400	$2,374,932
386.	Peyton Watson	$2,303,520	$2,371,966
387.	Cam Thomas	$2,240,160	$2,306,724
388.	Vlatko Cancar	$2,234,359	$2,300,750
389.	Vince Williams Jr	$2,232,308	$2,298,638
390.	Jaden Springer	$2,226,240	$2,292,390
391.	Day'Ron Sharpe	$2,210,040	$2,275,709
392.	Jordan Goodwin	$2,208,045	$2,273,654
393.	Santiago Aldama	$2,194,200	$2,259,398
394.	Moses Brown	$2,165,000	$2,229,330
394.	Bol Bol	$2,165,000	$2,229,330
394.	Jaxson Hayes	$2,165,000	$2,229,330
394.	Cam Reddish	$2,165,000	$2,229,330
394.	Oshae Brissett	$2,165,000	$2,229,330
399.	Kevin Knox	$2,144,320	$2,208,036
400.	Andrew Nembhard	$2,131,905	$2,195,252
401.	Luka Samanic	$2,066,585	$2,127,991
401.	Goga Bitadze	$2,066,585	$2,127,991
403.	Matt Ryan	$2,059,782	$2,120,986
404.	Sandro Mamukelashvili	$2,019,706	$2,079,719
404.	Colby Jones	$2,019,706	$2,079,719
404.	Dalano Banton	$2,019,706	$2,079,719
404.	Montrezl Harrell	$2,019,706	$2,079,719
404.	Terry Taylor	$2,019,706	$2,079,719
404.	Trendon Watford	$2,019,706	$2,079,719
410.	Caleb Houstan	$2,000,000	$2,059,427
410.	Jaylin Williams	$2,000,000	$2,059,427
410.	Garrison Mathews	$2,000,000	$2,059,427
413.	Anthony Gill	$1,997,238	$2,056,583
413.	Isaiah Joe	$1,997,238	$2,056,583
413.	Sam Merrill	$1,997,238	$2,056,583
416.	GG Jackson	$1,991,428	$2,050,601
417.	Duop Reath	$1,951,220	$2,009,198
418.	KJ Martin	$1,930,681	$1,988,049
418.	Naji Marshall	$1,930,681	$1,988,049
418.	Xavier Tillman	$1,930,681	$1,988,049
421.	Kessler Edwards	$1,927,896	$1,985,181
421.	Jericho Sims	$1,927,896	$1,985,181
421.	Sam Hauser	$1,927,896	$1,985,181
424.	Haywood Highsmith	$1,902,137	$1,958,657
425.	AJ Green	$1,901,769	$1,958,278
426.	Ryan Rollins	$1,893,589	$1,949,854
427.	Isaiah Livers	$1,836,096	$1,890,653
427.	Aaron Wiggins	$1,836,096	$1,890,653
427.	Miles McBride	$1,836,096	$1,890,653
427.	Jose Alvarado	$1,836,096	$1,890,653
427.	Isaiah Todd	$1,836,096	$1,890,653
427.	BJ Boston	$1,836,096	$1,890,653
427.	JT Thor	$1,836,096	$1,890,653
434.	Jared Butler	$1,809,782	$1,863,557
435.	EJ Liddell	$1,801,769	$1,855,306
435.	Dru Smith	$1,801,769	$1,855,306
435.	Orlando Robinson	$1,801,769	$1,855,306
438.	Leonard Miller	$1,800,000	$1,853,485
